datetime,quantity,price,name
2019-08-03 20:25:00,2,0.8,Plain Papadum
2019-08-03 20:25:00,1,12.95,King Prawn Balti
2019-08-03 20:25:00,1,2.95,Garlic Naan
2019-08-03 20:25:00,1,3.95,Mushroom Rice
2019-08-03 20:25:00,1,8.95,Paneer Tikka Masala
2019-08-03 20:25:00,1,0.5,Mango Chutney
2019-08-03 20:17:00,1,2.6,Plain Naan
2019-08-03 20:17:00,1,3.95,Mushroom Rice
2019-08-03 20:17:00,1,4.95,Tandoori Chicken (1/4)
2019-08-03 20:17:00,1,7.95,Vindaloo - Lamb
2019-08-03 20:17:00,1,1.95,Chapati
2019-08-03 20:17:00,1,4.95,Lamb Tikka
2019-08-03 20:17:00,1,5.95,Saag Paneer
2019-08-03 20:09:00,1,4.95,Aloo Chaat
2019-08-03 20:09:00,1,5.95,Chicken Pakora
2019-08-03 20:09:00,1,9.95,Chicken Chilli Garlic
2019-08-03 20:09:00,1,9.95,Lamb Biryani
2019-08-03 20:09:00,1,2.95,Keema Naan
2019-08-03 20:01:00,1,5.95,Chicken Pakora
2019-08-03 20:01:00,1,0.8,Plain Papadum
2019-08-03 20:01:00,1,0.5,Mango Chutney
2019-08-03 20:01:00,1,0.5,Red Sauce
2019-08-03 20:01:00,1,9.95,Korma - Prawn
2019-08-03 20:01:00,1,2.95,Peshwari Naan
2019-08-03 20:01:00,1,2.95,Pilau Rice
2019-08-03 19:44:00,1,9.95,Chicken Balti
2019-08-03 19:44:00,2,3.95,Special Fried Rice
2019-08-03 19:42:00,1,8.95,Chicken Tikka Masala
2019-08-03 19:42:00,1,7.95,Curry - Lamb
2019-08-03 19:42:00,1,2.95,Pilau Rice
2019-08-03 19:42:00,1,2.95,Peshwari Naan
2019-08-03 19:42:00,1,0.8,Plain Papadum
2019-08-03 19:41:00,2,0.8,Plain Papadum
2019-08-03 19:41:00,1,3.95,Vegetable Rice
2019-08-03 19:41:00,1,9.95,Saag - Prawn
2019-08-03 19:41:00,1,8.95,Tandoori Chicken Masala
2019-08-03 19:29:00,1,2.95,Pilau Rice
2019-08-03 19:29:00,1,8.95,Lamb Tikka Chilli Masala
2019-08-03 19:29:00,1,2.95,Peshwari Naan
2019-08-03 19:29:00,1,5.95,Saag Aloo
2019-08-03 19:28:00,1,5.95,Aloo Gobi
2019-08-03 19:28:00,1,5.95,Bhindi Bhajee
2019-08-03 19:28:00,1,5.95,Saag Paneer
2019-08-03 19:28:00,2,0.5,Mint Sauce
2019-08-03 19:28:00,1,9.95,Chicken Biryani
2019-08-03 19:28:00,1,2.95,Garlic Naan
2019-08-03 19:28:00,1,2.6,Plain Naan
2019-08-03 19:28:00,1,8.95,Tandoori Chicken Masala
2019-08-03 19:26:00,4,0.8,Plain Papadum
2019-08-03 19:26:00,2,0.5,Red Sauce
2019-08-03 19:26:00,1,8.95,Chicken Tikka Masala
2019-08-03 19:26:00,1,7.95,Madras - Chicken Tikka
2019-08-03 19:26:00,2,3.95,Mushroom Rice
2019-08-03 19:26:00,1,2.95,Garlic Naan
2019-08-03 19:26:00,1,5.95,Bombay Aloo
2019-08-03 19:25:00,1,3.95,Onion Bhajee
2019-08-03 19:25:00,1,4.95,Sheek Kebab
2019-08-03 19:25:00,8,0.8,Plain Papadum
2019-08-03 19:25:00,2,0.5,Mango Chutney
2019-08-03 19:25:00,2,0.5,Mint Sauce
2019-08-03 19:25:00,1,0.5,Onion Chutney
2019-08-03 19:25:00,1,8.95,Chicken Tikka (Main)
2019-08-03 19:25:00,1,8.95,Korma - Chicken
2019-08-03 19:25:00,1,8.95,Chicken Tikka Masala
2019-08-03 19:25:00,1,2.95,Plain Rice
2019-08-03 19:25:00,1,2.95,Pilau Rice
2019-08-03 19:25:00,2,2.95,Keema Naan
2019-08-03 19:25:00,1,3.95,French Fries
2019-08-03 19:25:00,1,9.95,Chicken Biryani
2019-08-03 19:25:00,1,3.95,Mushroom Rice
2019-08-03 19:16:00,1,3.95,Onion Bhajee
2019-08-03 19:16:00,1,8.95,Korma - Chicken
2019-08-03 19:16:00,1,2.95,Peshwari Naan
2019-08-03 19:16:00,1,2.95,Pilau Rice
